wiki_eng-fin: 5000	 acc: --	 ppl:  7.41	 xent: 2.00	  24.95 TFLOP/s	 7397/7264 tok/s	 2529970 sents	  64745 sec	
wiki_eng-fin: 5500	 acc: --	 ppl:  7.17	 xent: 1.97	  23.67 TFLOP/s	 7023/6890 tok/s	 2773208 sents	  71346 sec	
wiki_eng-fin: 6000	 acc: --	 ppl:  7.07	 xent: 1.96	  25.15 TFLOP/s	 7469/7323 tok/s	 3027791 sents	  77738 sec	
wiki_eng-fin: 6500	 acc: --	 ppl:  6.94	 xent: 1.94	  24.48 TFLOP/s	 7274/7133 tok/s	 3281746 sents	  84133 sec	
wiki_eng-fin: 7000	 acc: --	 ppl:  6.75	 xent: 1.91	  25.20 TFLOP/s	 7489/7324 tok/s	 3533117 sents	  90599 sec	
wiki_eng-fin: 7500	 acc: --	 ppl:  6.68	 xent: 1.90	  24.82 TFLOP/s	 7358/7234 tok/s	 3783107 sents	  97032 sec	
wiki_eng-fin: 8000	 acc: --	 ppl:  6.57	 xent: 1.88	  23.65 TFLOP/s	 7016/6890 tok/s	 4029903 sents	 103701 sec	
wiki_eng-fin: 8500	 acc: --	 ppl:  6.50	 xent: 1.87	  24.23 TFLOP/s	 7198/7053 tok/s	 4276637 sents	 110088 sec	
wiki_eng-fin: 9000	 acc: --	 ppl:  6.37	 xent: 1.85	  25.15 TFLOP/s	 7460/7315 tok/s	 4528120 sents	 116643 sec	
wiki_eng-fin: 9500	 acc: --	 ppl:  6.34	 xent: 1.85	  24.85 TFLOP/s	 7381/7234 tok/s	 4784466 sents	 123185 sec	
wiki_eng-fin: 10000	 acc: --	 ppl:  6.30	 xent: 1.84	  24.74 TFLOP/s	 7335/7205 tok/s	 5034583 sents	 129687 sec	
wiki_eng-fin: 10500	 acc: --	 ppl:  6.28	 xent: 1.84	  24.06 TFLOP/s	 7146/6998 tok/s	 5285197 sents	 136446 sec	
wiki_eng-fin: 11000	 acc: --	 ppl:  6.23	 xent: 1.83	  24.68 TFLOP/s	 7328/7190 tok/s	 5542348 sents	 142938 sec	
wiki_eng-fin: 11500	 acc: --	 ppl:  6.15	 xent: 1.82	  24.37 TFLOP/s	 7232/7098 tok/s	 5792374 sents	 149369 sec	
wiki_eng-fin: 12000	 acc: --	 ppl:  6.18	 xent: 1.82	  24.96 TFLOP/s	 7402/7259 tok/s	 6037544 sents	 155871 sec	
wiki_eng-fin: 12500	 acc: --	 ppl:  6.14	 xent: 1.81	  24.22 TFLOP/s	 7188/7063 tok/s	 6292540 sents	 162315 sec	
wiki_eng-fin: 13000	 acc: --	 ppl:  6.05	 xent: 1.80	  24.33 TFLOP/s	 7201/7094 tok/s	 6540548 sents	 168988 sec	

wiki_fin-swe: 500	 acc: --	 ppl: 5195.75	 xent: 8.56	  25.17 TFLOP/s	 7301/7446 tok/s	 241235 sents	   6523 sec	
wiki_fin-swe: 1000	 acc: --	 ppl: 888.01	 xent: 6.79	  25.10 TFLOP/s	 7286/7433 tok/s	 482641 sents	  12941 sec	
