mt_ell-eng: 1000	 acc: --	 ppl: 201.09	 xent: 5.30	   9.27 TFLOP/s	 28694/26421 tok/s	 256020 sents	   1924 sec	
mt_ell-eng: 1500	 acc: --	 ppl: 192.03	 xent: 5.26	   9.28 TFLOP/s	 28744/26471 tok/s	 384024 sents	   2888 sec	
mt_ell-eng: 2000	 acc: --	 ppl: 189.39	 xent: 5.24	   9.26 TFLOP/s	 28677/26395 tok/s	 512032 sents	   3858 sec	
mt_ell-eng: 2500	 acc: --	 ppl: 120.14	 xent: 4.79	   9.39 TFLOP/s	 29071/26767 tok/s	 640024 sents	   4815 sec	
mt_ell-eng: 3000	 acc: --	 ppl: 22.70	 xent: 3.12	   7.03 TFLOP/s	 21805/20043 tok/s	 768020 sents	   6088 sec	
mt_ell-eng: 3500	 acc: --	 ppl: 19.82	 xent: 2.99	   9.32 TFLOP/s	 28866/26574 tok/s	 896016 sents	   7053 sec	
mt_ell-eng: 4000	 acc: --	 ppl: 16.02	 xent: 2.77	   9.27 TFLOP/s	 28715/26412 tok/s	 1024030 sents	   8019 sec	
mt_ell-eng: 4500	 acc: --	 ppl: 13.99	 xent: 2.64	   9.40 TFLOP/s	 29073/26798 tok/s	 1152016 sents	   8975 sec	
mt_ell-eng: 5000	 acc: --	 ppl: 13.90	 xent: 2.63	   9.27 TFLOP/s	 28695/26443 tok/s	 1280010 sents	   9940 sec	
mt_ell-eng: 5500	 acc: --	 ppl: 13.77	 xent: 2.62	   7.03 TFLOP/s	 21777/20045 tok/s	 1408016 sents	  11216 sec	
mt_ell-eng: 6000	 acc: --	 ppl: 13.78	 xent: 2.62	   9.35 TFLOP/s	 28953/26674 tok/s	 1536000 sents	  12175 sec	
mt_ell-eng: 6500	 acc: --	 ppl: 13.95	 xent: 2.64	   9.24 TFLOP/s	 28625/26354 tok/s	 1664016 sents	  13141 sec	
mt_ell-eng: 7000	 acc: --	 ppl: 13.83	 xent: 2.63	   9.34 TFLOP/s	 28940/26607 tok/s	 1792020 sents	  14101 sec	
mt_ell-eng: 7500	 acc: --	 ppl: 13.82	 xent: 2.63	   9.34 TFLOP/s	 28944/26641 tok/s	 1920016 sents	  15061 sec	
mt_ell-eng: 8000	 acc: --	 ppl: 12.95	 xent: 2.56	   6.99 TFLOP/s	 21647/19941 tok/s	 2048010 sents	  16344 sec	

mt_eng-bos: 500	 acc: --	 ppl: 993.46	 xent: 6.90	   8.73 TFLOP/s	 27104/25047 tok/s	 128016 sents	    958 sec	
mt_eng-bos: 1000	 acc: --	 ppl: 462.53	 xent: 6.14	   8.65 TFLOP/s	 26902/24782 tok/s	 256032 sents	   1924 sec	
mt_eng-bos: 1500	 acc: --	 ppl: 382.28	 xent: 5.95	   8.64 TFLOP/s	 26947/24686 tok/s	 384016 sents	   2888 sec	
mt_eng-bos: 2000	 acc: --	 ppl: 268.11	 xent: 5.59	   8.64 TFLOP/s	 26849/24754 tok/s	 512010 sents	   3858 sec	
mt_eng-bos: 2500	 acc: --	 ppl: 153.20	 xent: 5.03	   8.75 TFLOP/s	 27216/25038 tok/s	 640016 sents	   4815 sec	
mt_eng-bos: 3000	 acc: --	 ppl: 33.29	 xent: 3.51	   6.54 TFLOP/s	 20397/18676 tok/s	 768000 sents	   6088 sec	
mt_eng-bos: 3500	 acc: --	 ppl: 25.28	 xent: 3.23	   8.65 TFLOP/s	 26934/24740 tok/s	 896016 sents	   7053 sec	
mt_eng-bos: 4000	 acc: --	 ppl: 23.73	 xent: 3.17	   8.63 TFLOP/s	 26907/24676 tok/s	 1024010 sents	   8019 sec	
mt_eng-bos: 4500	 acc: --	 ppl: 18.61	 xent: 2.92	   8.72 TFLOP/s	 27151/24935 tok/s	 1152016 sents	   8975 sec	
mt_eng-bos: 5000	 acc: --	 ppl: 16.68	 xent: 2.81	   8.64 TFLOP/s	 26912/24732 tok/s	 1280030 sents	   9940 sec	
mt_eng-bos: 5500	 acc: --	 ppl: 17.09	 xent: 2.84	   6.57 TFLOP/s	 20434/18811 tok/s	 1408024 sents	  11216 sec	
mt_eng-bos: 6000	 acc: --	 ppl: 16.40	 xent: 2.80	   8.73 TFLOP/s	 27140/25014 tok/s	 1536000 sents	  12175 sec	
mt_eng-bos: 6500	 acc: --	 ppl: 16.65	 xent: 2.81	   8.62 TFLOP/s	 26811/24696 tok/s	 1664016 sents	  13141 sec	
mt_eng-bos: 7000	 acc: --	 ppl: 16.59	 xent: 2.81	   8.70 TFLOP/s	 27075/24886 tok/s	 1792032 sents	  14101 sec	
mt_eng-bos: 7500	 acc: --	 ppl: 16.55	 xent: 2.81	   8.71 TFLOP/s	 27088/24929 tok/s	 1920016 sents	  15061 sec	
mt_eng-bos: 8000	 acc: --	 ppl: 16.46	 xent: 2.80	   6.52 TFLOP/s	 20258/18671 tok/s	 2048030 sents	  16344 sec	

mt_eng-bul: 500	 acc: --	 ppl: 1763.38	 xent: 7.47	   9.05 TFLOP/s	 26734/26931 tok/s	 128016 sents	    958 sec	
mt_eng-bul: 1000	 acc: --	 ppl: 269.62	 xent: 5.60	   9.00 TFLOP/s	 26582/26784 tok/s	 256032 sents	   1924 sec	
mt_eng-bul: 1500	 acc: --	 ppl: 238.40	 xent: 5.47	   9.01 TFLOP/s	 26607/26815 tok/s	 384024 sents	   2888 sec	
mt_eng-bul: 2000	 acc: --	 ppl: 173.93	 xent: 5.16	   9.02 TFLOP/s	 26635/26830 tok/s	 512000 sents	   3858 sec	
mt_eng-bul: 2500	 acc: --	 ppl: 82.14	 xent: 4.41	   9.06 TFLOP/s	 26802/26963 tok/s	 640024 sents	   4815 sec	
mt_eng-bul: 3000	 acc: --	 ppl: 22.28	 xent: 3.10	   6.82 TFLOP/s	 20160/20296 tok/s	 768010 sents	   6088 sec	
mt_eng-bul: 3500	 acc: --	 ppl: 18.19	 xent: 2.90	   9.01 TFLOP/s	 26646/26799 tok/s	 896024 sents	   7053 sec	
mt_eng-bul: 4000	 acc: --	 ppl: 16.43	 xent: 2.80	   8.99 TFLOP/s	 26565/26756 tok/s	 1024030 sents	   8019 sec	
mt_eng-bul: 4500	 acc: --	 ppl: 13.89	 xent: 2.63	   9.11 TFLOP/s	 26914/27086 tok/s	 1152016 sents	   8975 sec	
mt_eng-bul: 5000	 acc: --	 ppl: 13.56	 xent: 2.61	   8.97 TFLOP/s	 26548/26701 tok/s	 1280030 sents	   9940 sec	
mt_eng-bul: 5500	 acc: --	 ppl: 13.32	 xent: 2.59	   6.83 TFLOP/s	 20179/20304 tok/s	 1408016 sents	  11216 sec	
mt_eng-bul: 6000	 acc: --	 ppl: 13.45	 xent: 2.60	   9.05 TFLOP/s	 26757/26921 tok/s	 1536010 sents	  12175 sec	
mt_eng-bul: 6500	 acc: --	 ppl: 13.42	 xent: 2.60	   8.99 TFLOP/s	 26590/26751 tok/s	 1664016 sents	  13141 sec	
mt_eng-bul: 7000	 acc: --	 ppl: 13.53	 xent: 2.60	   9.02 TFLOP/s	 26696/26836 tok/s	 1792030 sents	  14101 sec	
mt_eng-bul: 7500	 acc: --	 ppl: 13.36	 xent: 2.59	   9.07 TFLOP/s	 26811/26991 tok/s	 1920024 sents	  15061 sec	
mt_eng-bul: 8000	 acc: --	 ppl: 12.50	 xent: 2.53	   6.77 TFLOP/s	 19997/20141 tok/s	 2048032 sents	  16344 sec	

mt_eng-cat: 500	 acc: --	 ppl: 1845.07	 xent: 7.52	   9.21 TFLOP/s	 26865/27642 tok/s	 128024 sents	    958 sec	
mt_eng-cat: 1000	 acc: --	 ppl: 251.57	 xent: 5.53	   9.16 TFLOP/s	 26676/27512 tok/s	 256030 sents	   1924 sec	
mt_eng-cat: 1500	 acc: --	 ppl: 206.94	 xent: 5.33	   9.17 TFLOP/s	 26772/27527 tok/s	 384016 sents	   2888 sec	
mt_eng-cat: 2000	 acc: --	 ppl: 158.54	 xent: 5.07	   9.11 TFLOP/s	 26608/27321 tok/s	 512032 sents	   3858 sec	
mt_eng-cat: 2500	 acc: --	 ppl: 70.76	 xent: 4.26	   9.26 TFLOP/s	 27013/27779 tok/s	 640024 sents	   4815 sec	
mt_eng-cat: 3000	 acc: --	 ppl: 19.80	 xent: 2.99	   6.93 TFLOP/s	 20209/20821 tok/s	 768030 sents	   6088 sec	
mt_eng-cat: 3500	 acc: --	 ppl: 17.77	 xent: 2.88	   9.18 TFLOP/s	 26760/27583 tok/s	 896016 sents	   7053 sec	
mt_eng-cat: 4000	 acc: --	 ppl: 14.42	 xent: 2.67	   9.21 TFLOP/s	 26802/27657 tok/s	 1024000 sents	   8019 sec	
mt_eng-cat: 4500	 acc: --	 ppl: 12.67	 xent: 2.54	   9.21 TFLOP/s	 26880/27632 tok/s	 1152024 sents	   8975 sec	
mt_eng-cat: 5000	 acc: --	 ppl: 12.48	 xent: 2.52	   9.18 TFLOP/s	 26725/27576 tok/s	 1280010 sents	   9940 sec	
mt_eng-cat: 5500	 acc: --	 ppl: 12.57	 xent: 2.53	   6.92 TFLOP/s	 20210/20771 tok/s	 1408024 sents	  11216 sec	
mt_eng-cat: 6000	 acc: --	 ppl: 12.52	 xent: 2.53	   9.23 TFLOP/s	 26954/27689 tok/s	 1536000 sents	  12175 sec	
mt_eng-cat: 6500	 acc: --	 ppl: 12.71	 xent: 2.54	   9.10 TFLOP/s	 26579/27325 tok/s	 1664024 sents	  13141 sec	
mt_eng-cat: 7000	 acc: --	 ppl: 12.55	 xent: 2.53	   9.21 TFLOP/s	 26888/27628 tok/s	 1792010 sents	  14101 sec	
mt_eng-cat: 7500	 acc: --	 ppl: 12.61	 xent: 2.53	   9.21 TFLOP/s	 26931/27606 tok/s	 1920016 sents	  15061 sec	
mt_eng-cat: 8000	 acc: --	 ppl: 12.21	 xent: 2.50	   6.86 TFLOP/s	 20050/20577 tok/s	 2048030 sents	  16344 sec	

mt_eng-ces: 500	 acc: --	 ppl: 1892.25	 xent: 7.55	   8.92 TFLOP/s	 26440/26534 tok/s	 128016 sents	    958 sec	
mt_eng-ces: 1000	 acc: --	 ppl: 333.61	 xent: 5.81	   8.87 TFLOP/s	 26288/26363 tok/s	 256010 sents	   1924 sec	
mt_eng-ces: 1500	 acc: --	 ppl: 273.94	 xent: 5.61	   8.86 TFLOP/s	 26285/26345 tok/s	 384024 sents	   2888 sec	
mt_eng-ces: 2000	 acc: --	 ppl: 189.86	 xent: 5.25	   8.87 TFLOP/s	 26302/26382 tok/s	 512000 sents	   3858 sec	
mt_eng-ces: 2500	 acc: --	 ppl: 156.79	 xent: 5.05	   8.93 TFLOP/s	 26479/26549 tok/s	 640024 sents	   4815 sec	
mt_eng-ces: 3000	 acc: --	 ppl: 34.68	 xent: 3.55	   6.72 TFLOP/s	 19939/19969 tok/s	 768030 sents	   6088 sec	
mt_eng-ces: 3500	 acc: --	 ppl: 21.05	 xent: 3.05	   8.88 TFLOP/s	 26317/26406 tok/s	 896024 sents	   7053 sec	
mt_eng-ces: 4000	 acc: --	 ppl: 20.27	 xent: 3.01	   8.85 TFLOP/s	 26219/26329 tok/s	 1024032 sents	   8019 sec	
mt_eng-ces: 4500	 acc: --	 ppl: 18.54	 xent: 2.92	   8.97 TFLOP/s	 26580/26658 tok/s	 1152024 sents	   8975 sec	
mt_eng-ces: 5000	 acc: --	 ppl: 16.52	 xent: 2.80	   8.86 TFLOP/s	 26280/26370 tok/s	 1280010 sents	   9940 sec	
mt_eng-ces: 5500	 acc: --	 ppl: 15.14	 xent: 2.72	   6.71 TFLOP/s	 19885/19953 tok/s	 1408016 sents	  11216 sec	
mt_eng-ces: 6000	 acc: --	 ppl: 14.00	 xent: 2.64	   8.91 TFLOP/s	 26417/26512 tok/s	 1536010 sents	  12175 sec	
mt_eng-ces: 6500	 acc: --	 ppl: 14.01	 xent: 2.64	   8.85 TFLOP/s	 26237/26316 tok/s	 1664024 sents	  13141 sec	
mt_eng-ces: 7000	 acc: --	 ppl: 13.99	 xent: 2.64	   8.91 TFLOP/s	 26425/26494 tok/s	 1792020 sents	  14101 sec	
mt_eng-ces: 7500	 acc: --	 ppl: 13.98	 xent: 2.64	   8.92 TFLOP/s	 26453/26524 tok/s	 1920016 sents	  15061 sec	
mt_eng-ces: 8000	 acc: --	 ppl: 13.98	 xent: 2.64	   6.67 TFLOP/s	 19768/19828 tok/s	 2048032 sents	  16344 sec	

mt_eng-dan: 500	 acc: --	 ppl: 1650.06	 xent: 7.41	   8.90 TFLOP/s	 26238/26582 tok/s	 128024 sents	    958 sec	
mt_eng-dan: 1000	 acc: --	 ppl: 308.81	 xent: 5.73	   8.88 TFLOP/s	 26190/26529 tok/s	 256000 sents	   1924 sec	
