mt_bul-spa: 9000	 acc: --	 ppl:  6.27	 xent: 1.84	  15.14 TFLOP/s	 11703/11525 tok/s	 1909765 sents	  35810 sec	
mt_bul-spa: 9500	 acc: --	 ppl:  5.98	 xent: 1.79	  14.53 TFLOP/s	 11226/11064 tok/s	 2015178 sents	  37758 sec	
mt_bul-spa: 10000	 acc: --	 ppl:  6.36	 xent: 1.85	  14.37 TFLOP/s	 11124/10930 tok/s	 2117215 sents	  39663 sec	
mt_bul-spa: 10500	 acc: --	 ppl:  6.40	 xent: 1.86	  12.63 TFLOP/s	 9769/9608 tok/s	 2222322 sents	  41897 sec	

mt_cat-deu: 500	 acc: --	 ppl: 515.85	 xent: 6.25	  15.41 TFLOP/s	 12032/11627 tok/s	 107927 sents	   1892 sec	
mt_cat-deu: 1000	 acc: --	 ppl: 240.57	 xent: 5.48	  14.44 TFLOP/s	 11268/10902 tok/s	 210372 sents	   3812 sec	
mt_cat-deu: 1500	 acc: --	 ppl: 56.51	 xent: 4.03	  15.04 TFLOP/s	 11725/11366 tok/s	 318262 sents	   5745 sec	
mt_cat-deu: 2000	 acc: --	 ppl: 29.95	 xent: 3.40	  14.29 TFLOP/s	 11145/10804 tok/s	 419030 sents	   7643 sec	
mt_cat-deu: 2500	 acc: --	 ppl: 22.88	 xent: 3.13	  14.67 TFLOP/s	 11422/11090 tok/s	 520867 sents	   9531 sec	
mt_cat-deu: 3000	 acc: --	 ppl: 16.47	 xent: 2.80	  12.88 TFLOP/s	 10035/9735 tok/s	 627298 sents	  11761 sec	
mt_cat-deu: 3500	 acc: --	 ppl: 12.12	 xent: 2.50	  14.86 TFLOP/s	 11593/11218 tok/s	 737147 sents	  13756 sec	
mt_cat-deu: 4000	 acc: --	 ppl:  9.13	 xent: 2.21	  15.02 TFLOP/s	 11713/11341 tok/s	 844282 sents	  15689 sec	
mt_cat-deu: 4500	 acc: --	 ppl:  7.38	 xent: 2.00	  14.16 TFLOP/s	 11047/10694 tok/s	 944674 sents	  17603 sec	
mt_cat-deu: 5000	 acc: --	 ppl:  7.35	 xent: 1.99	  13.86 TFLOP/s	 10792/10478 tok/s	 1049913 sents	  19660 sec	
