task_bos-eng: 19000	 acc: --	 ppl: 14.15	 xent: 2.65	  17.40 TFLOP/s	 18181/17813 tok/s	 5062913 sents	  57807 sec	
task_bos-eng: 19500	 acc: --	 ppl: 14.05	 xent: 2.64	  17.15 TFLOP/s	 17947/17551 tok/s	 5191116 sents	  59252 sec	
task_bos-eng: 20000	 acc: --	 ppl: 13.82	 xent: 2.63	  17.45 TFLOP/s	 18150/17947 tok/s	 5322314 sents	  60701 sec	
task_bos-eng: 20500	 acc: --	 ppl: 13.32	 xent: 2.59	  14.37 TFLOP/s	 14982/14739 tok/s	 5454755 sents	  62483 sec	
task_bos-eng: 21000	 acc: --	 ppl: 13.10	 xent: 2.57	  17.98 TFLOP/s	 18684/18501 tok/s	 5590398 sents	  63937 sec	
task_bos-eng: 21500	 acc: --	 ppl: 12.90	 xent: 2.56	  17.96 TFLOP/s	 18656/18496 tok/s	 5725923 sents	  65387 sec	
task_bos-eng: 22000	 acc: --	 ppl: 12.90	 xent: 2.56	  17.75 TFLOP/s	 18542/18195 tok/s	 5859975 sents	  66844 sec	
task_bos-eng: 22500	 acc: --	 ppl: 12.82	 xent: 2.55	  17.80 TFLOP/s	 18494/18330 tok/s	 5996621 sents	  68310 sec	
task_bos-eng: 23000	 acc: --	 ppl: 12.86	 xent: 2.55	  14.65 TFLOP/s	 15258/15065 tok/s	 6131766 sents	  70077 sec	
task_bos-eng: 23500	 acc: --	 ppl: 12.75	 xent: 2.55	  17.80 TFLOP/s	 18591/18253 tok/s	 6265142 sents	  71521 sec	
task_bos-eng: 24000	 acc: --	 ppl: 12.46	 xent: 2.52	  17.91 TFLOP/s	 18652/18409 tok/s	 6398946 sents	  72958 sec	
task_bos-eng: 24500	 acc: --	 ppl: 12.44	 xent: 2.52	  17.72 TFLOP/s	 18437/18219 tok/s	 6531910 sents	  74407 sec	
task_bos-eng: 25000	 acc: --	 ppl: 12.34	 xent: 2.51	  17.56 TFLOP/s	 18261/18062 tok/s	 6665683 sents	  75874 sec	
task_bos-eng: 25500	 acc: --	 ppl: 12.33	 xent: 2.51	  14.07 TFLOP/s	 14608/14488 tok/s	 6796527 sents	  77662 sec	
task_bos-eng: 26000	 acc: --	 ppl: 12.27	 xent: 2.51	  17.66 TFLOP/s	 18377/18160 tok/s	 6928251 sents	  79106 sec	
task_bos-eng: 26500	 acc: --	 ppl: 11.88	 xent: 2.48	  17.43 TFLOP/s	 18136/17912 tok/s	 7058752 sents	  80556 sec	
task_bos-eng: 27000	 acc: --	 ppl: 11.60	 xent: 2.45	  17.36 TFLOP/s	 18005/17889 tok/s	 7188463 sents	  82004 sec	
task_bos-eng: 27500	 acc: --	 ppl: 11.98	 xent: 2.48	  17.62 TFLOP/s	 18364/18096 tok/s	 7319895 sents	  83448 sec	
task_bos-eng: 28000	 acc: --	 ppl: 12.23	 xent: 2.50	  14.42 TFLOP/s	 15019/14819 tok/s	 7451584 sents	  85217 sec	
task_bos-eng: 28500	 acc: --	 ppl: 11.63	 xent: 2.45	  17.67 TFLOP/s	 18416/18146 tok/s	 7582393 sents	  86651 sec	
task_bos-eng: 29000	 acc: --	 ppl: 11.85	 xent: 2.47	  17.56 TFLOP/s	 18273/18041 tok/s	 7712611 sents	  88085 sec	
task_bos-eng: 29500	 acc: --	 ppl: 11.52	 xent: 2.44	  17.99 TFLOP/s	 18753/18451 tok/s	 7845687 sents	  89520 sec	
task_bos-eng: 30000	 acc: --	 ppl: 11.59	 xent: 2.45	  17.76 TFLOP/s	 18423/18303 tok/s	 7977366 sents	  90954 sec	
task_bos-eng: 30500	 acc: --	 ppl: 11.80	 xent: 2.47	  13.96 TFLOP/s	 14504/14368 tok/s	 8110499 sents	  92791 sec	
task_bos-eng: 31000	 acc: --	 ppl: 11.46	 xent: 2.44	  17.56 TFLOP/s	 18257/18063 tok/s	 8242312 sents	  94243 sec	
