sentmt_bos-eng: 29000	 acc: --	 ppl: 18.86	 xent: 2.94	   5.11 TFLOP/s	 11229/11170 tok/s	 14848040 sents	  31082 sec	
sentmt_bos-eng: 29500	 acc: --	 ppl: 18.63	 xent: 2.92	   5.11 TFLOP/s	 11247/11197 tok/s	 15104072 sents	  31575 sec	
sentmt_bos-eng: 30000	 acc: --	 ppl: 18.68	 xent: 2.93	   5.15 TFLOP/s	 11320/11265 tok/s	 15360052 sents	  32068 sec	
sentmt_bos-eng: 30500	 acc: --	 ppl: 18.61	 xent: 2.92	   3.60 TFLOP/s	 7913/7870 tok/s	 15616080 sents	  32766 sec	
sentmt_bos-eng: 31000	 acc: --	 ppl: 18.90	 xent: 2.94	   5.04 TFLOP/s	 11083/11014 tok/s	 15872084 sents	  33260 sec	
sentmt_bos-eng: 31500	 acc: --	 ppl: 18.62	 xent: 2.92	   5.13 TFLOP/s	 11286/11251 tok/s	 16128072 sents	  33754 sec	
sentmt_bos-eng: 32000	 acc: --	 ppl: 18.67	 xent: 2.93	   5.10 TFLOP/s	 11217/11180 tok/s	 16384080 sents	  34248 sec	
sentmt_bos-eng: 32500	 acc: --	 ppl: 18.65	 xent: 2.93	   5.14 TFLOP/s	 11311/11253 tok/s	 16640072 sents	  34742 sec	
sentmt_bos-eng: 33000	 acc: --	 ppl: 18.46	 xent: 2.92	   3.64 TFLOP/s	 7995/7968 tok/s	 16896040 sents	  35450 sec	
sentmt_bos-eng: 33500	 acc: --	 ppl: 18.65	 xent: 2.93	   5.07 TFLOP/s	 11152/11097 tok/s	 17152100 sents	  35943 sec	
sentmt_bos-eng: 34000	 acc: --	 ppl: 18.79	 xent: 2.93	   5.12 TFLOP/s	 11252/11204 tok/s	 17408068 sents	  36437 sec	
sentmt_bos-eng: 34500	 acc: --	 ppl: 18.75	 xent: 2.93	   5.09 TFLOP/s	 11187/11114 tok/s	 17664052 sents	  36930 sec	
sentmt_bos-eng: 35000	 acc: --	 ppl: 18.67	 xent: 2.93	   5.10 TFLOP/s	 11207/11152 tok/s	 17920052 sents	  37423 sec	
sentmt_bos-eng: 35500	 acc: --	 ppl: 18.81	 xent: 2.93	   3.57 TFLOP/s	 7858/7818 tok/s	 18176084 sents	  38119 sec	
