task_bos-eng: 44000	 acc: --	 ppl: 12.70	 xent: 2.54	  17.66 TFLOP/s	 16931/19445 tok/s	 11900159 sents	 127119 sec	
task_bos-eng: 44500	 acc: --	 ppl: 12.61	 xent: 2.53	  17.83 TFLOP/s	 17101/19624 tok/s	 12034797 sents	 128490 sec	
task_bos-eng: 45000	 acc: --	 ppl: 12.70	 xent: 2.54	  18.01 TFLOP/s	 17259/19841 tok/s	 12171273 sents	 129864 sec	
task_bos-eng: 45500	 acc: --	 ppl: 12.67	 xent: 2.54	  14.34 TFLOP/s	 13744/15794 tok/s	 12305641 sents	 131562 sec	
task_bos-eng: 46000	 acc: --	 ppl: 12.65	 xent: 2.54	  17.63 TFLOP/s	 16907/19412 tok/s	 12439215 sents	 132935 sec	

task_eng-bos: 500	 acc: --	 ppl: 24518.08	 xent: 10.11	  16.41 TFLOP/s	 18288/15915 tok/s	 134984 sents	   1475 sec	
task_eng-bos: 1000	 acc: --	 ppl: 10221.69	 xent: 9.23	  16.97 TFLOP/s	 18901/16469 tok/s	 267590 sents	   2877 sec	
task_eng-bos: 1500	 acc: --	 ppl: 4490.50	 xent: 8.41	  17.50 TFLOP/s	 19506/16983 tok/s	 405854 sents	   4294 sec	
task_eng-bos: 2000	 acc: --	 ppl: 2839.33	 xent: 7.95	  16.95 TFLOP/s	 18905/16433 tok/s	 538884 sents	   5700 sec	
task_eng-bos: 2500	 acc: --	 ppl: 2276.99	 xent: 7.73	  17.44 TFLOP/s	 19449/16913 tok/s	 675034 sents	   7097 sec	
task_eng-bos: 3000	 acc: --	 ppl: 1951.75	 xent: 7.58	  14.14 TFLOP/s	 15750/13727 tok/s	 810308 sents	   8811 sec	
task_eng-bos: 3500	 acc: --	 ppl: 1664.62	 xent: 7.42	  17.59 TFLOP/s	 19614/17051 tok/s	 947038 sents	  10203 sec	
task_eng-bos: 4000	 acc: --	 ppl: 1412.42	 xent: 7.25	  16.90 TFLOP/s	 18830/16399 tok/s	 1079865 sents	  11611 sec	
task_eng-bos: 4500	 acc: --	 ppl: 1172.11	 xent: 7.07	  17.49 TFLOP/s	 19487/16983 tok/s	 1217170 sents	  13011 sec	
task_eng-bos: 5000	 acc: --	 ppl: 971.02	 xent: 6.88	  17.40 TFLOP/s	 19375/16893 tok/s	 1352376 sents	  14403 sec	
task_eng-bos: 5500	 acc: --	 ppl: 828.85	 xent: 6.72	  14.02 TFLOP/s	 15606/13608 tok/s	 1485584 sents	  16112 sec	
task_eng-bos: 6000	 acc: --	 ppl: 712.05	 xent: 6.57	  17.43 TFLOP/s	 19426/16902 tok/s	 1619119 sents	  17489 sec	
task_eng-bos: 6500	 acc: --	 ppl: 625.34	 xent: 6.44	  17.21 TFLOP/s	 19173/16696 tok/s	 1753231 sents	  18885 sec	
