denoise_swe-swe: 8000	 acc: --	 ppl:  6.61	 xent: 1.89	  17.74 TFLOP/s	 48598/56443 tok/s	 2048000 sents	   7854 sec	
denoise_swe-swe: 8500	 acc: --	 ppl:  6.59	 xent: 1.89	  15.64 TFLOP/s	 42874/49796 tok/s	 2176016 sents	   8351 sec	
denoise_swe-swe: 9000	 acc: --	 ppl:  6.65	 xent: 1.90	  17.65 TFLOP/s	 48392/56185 tok/s	 2304000 sents	   8794 sec	
denoise_swe-swe: 9500	 acc: --	 ppl:  6.56	 xent: 1.88	  15.55 TFLOP/s	 42630/49501 tok/s	 2432016 sents	   9295 sec	
denoise_swe-swe: 10000	 acc: --	 ppl:  6.62	 xent: 1.89	  17.64 TFLOP/s	 48349/56151 tok/s	 2560000 sents	   9740 sec	
denoise_swe-swe: 10500	 acc: --	 ppl:  6.54	 xent: 1.88	  15.35 TFLOP/s	 42063/48853 tok/s	 2688016 sents	  10249 sec	
denoise_swe-swe: 11000	 acc: --	 ppl:  6.61	 xent: 1.89	  17.75 TFLOP/s	 48620/56470 tok/s	 2816000 sents	  10691 sec	
denoise_swe-swe: 11500	 acc: --	 ppl:  6.53	 xent: 1.88	  15.63 TFLOP/s	 42846/49763 tok/s	 2944016 sents	  11191 sec	
denoise_swe-swe: 12000	 acc: --	 ppl:  6.55	 xent: 1.88	  17.68 TFLOP/s	 48446/56268 tok/s	 3072000 sents	  11635 sec	
denoise_swe-swe: 12500	 acc: --	 ppl:  6.53	 xent: 1.88	  15.64 TFLOP/s	 42867/49774 tok/s	 3200016 sents	  12134 sec	
denoise_swe-swe: 13000	 acc: --	 ppl:  6.64	 xent: 1.89	  17.70 TFLOP/s	 48499/56338 tok/s	 3328000 sents	  12577 sec	
denoise_swe-swe: 13500	 acc: --	 ppl:  6.55	 xent: 1.88	  15.64 TFLOP/s	 42890/49805 tok/s	 3456016 sents	  13075 sec	
denoise_swe-swe: 14000	 acc: --	 ppl:  6.57	 xent: 1.88	  17.72 TFLOP/s	 48558/56393 tok/s	 3584000 sents	  13517 sec	
denoise_swe-swe: 14500	 acc: --	 ppl:  6.35	 xent: 1.85	  15.14 TFLOP/s	 41496/48187 tok/s	 3712016 sents	  14033 sec	
denoise_swe-swe: 15000	 acc: --	 ppl:  6.63	 xent: 1.89	  17.74 TFLOP/s	 48616/56456 tok/s	 3840000 sents	  14475 sec	
denoise_swe-swe: 15500	 acc: --	 ppl:  6.37	 xent: 1.85	  15.41 TFLOP/s	 42262/49075 tok/s	 3968016 sents	  14980 sec	
denoise_swe-swe: 16000	 acc: --	 ppl:  6.49	 xent: 1.87	  17.67 TFLOP/s	 48412/56226 tok/s	 4096000 sents	  15423 sec	
denoise_swe-swe: 16500	 acc: --	 ppl:  6.34	 xent: 1.85	  15.37 TFLOP/s	 42120/48916 tok/s	 4224016 sents	  15931 sec	
denoise_swe-swe: 17000	 acc: --	 ppl:  6.46	 xent: 1.87	  17.73 TFLOP/s	 48567/56401 tok/s	 4352000 sents	  16375 sec	
denoise_swe-swe: 17500	 acc: --	 ppl:  6.40	 xent: 1.86	  15.59 TFLOP/s	 42740/49628 tok/s	 4480016 sents	  16876 sec	
denoise_swe-swe: 18000	 acc: --	 ppl:  6.39	 xent: 1.86	  17.72 TFLOP/s	 48556/56391 tok/s	 4608000 sents	  17319 sec	
denoise_swe-swe: 18500	 acc: --	 ppl:  6.33	 xent: 1.85	  15.67 TFLOP/s	 42942/49866 tok/s	 4736016 sents	  17818 sec	
denoise_swe-swe: 19000	 acc: --	 ppl:  6.50	 xent: 1.87	  17.70 TFLOP/s	 48520/56348 tok/s	 4864000 sents	  18260 sec	
denoise_swe-swe: 19500	 acc: --	 ppl:  6.45	 xent: 1.86	  15.65 TFLOP/s	 42901/49820 tok/s	 4992016 sents	  18760 sec	
denoise_swe-swe: 20000	 acc: --	 ppl:  6.43	 xent: 1.86	  17.69 TFLOP/s	 48468/56297 tok/s	 5120000 sents	  19202 sec	
denoise_swe-swe: 20500	 acc: --	 ppl:  6.29	 xent: 1.84	  15.64 TFLOP/s	 42878/49794 tok/s	 5248016 sents	  19700 sec	
denoise_swe-swe: 21000	 acc: --	 ppl:  6.55	 xent: 1.88	  17.71 TFLOP/s	 48539/56366 tok/s	 5376000 sents	  20141 sec	
denoise_swe-swe: 21500	 acc: --	 ppl:  6.34	 xent: 1.85	  15.42 TFLOP/s	 42264/49080 tok/s	 5504016 sents	  20647 sec	
denoise_swe-swe: 22000	 acc: --	 ppl:  6.16	 xent: 1.82	  17.63 TFLOP/s	 48314/56112 tok/s	 5632000 sents	  21091 sec	
denoise_swe-swe: 22500	 acc: --	 ppl:  6.27	 xent: 1.84	  15.66 TFLOP/s	 42914/49839 tok/s	 5760016 sents	  21590 sec	
denoise_swe-swe: 23000	 acc: --	 ppl:  6.28	 xent: 1.84	  17.71 TFLOP/s	 48540/56378 tok/s	 5888000 sents	  22033 sec	
denoise_swe-swe: 23500	 acc: --	 ppl:  6.10	 xent: 1.81	  15.38 TFLOP/s	 42168/48968 tok/s	 6016016 sents	  22539 sec	
denoise_swe-swe: 24000	 acc: --	 ppl:  6.18	 xent: 1.82	  17.72 TFLOP/s	 48554/56394 tok/s	 6144000 sents	  22983 sec	
denoise_swe-swe: 24500	 acc: --	 ppl:  6.21	 xent: 1.83	  15.17 TFLOP/s	 41569/48275 tok/s	 6272016 sents	  23497 sec	
denoise_swe-swe: 25000	 acc: --	 ppl:  6.38	 xent: 1.85	  17.70 TFLOP/s	 48500/56324 tok/s	 6400000 sents	  23940 sec	

mt_fin-eng: 500	 acc: --	 ppl: 658.54	 xent: 6.49	  18.96 TFLOP/s	 55257/57236 tok/s	 128016 sents	    446 sec	
mt_fin-eng: 1000	 acc: --	 ppl: 409.56	 xent: 6.02	  19.10 TFLOP/s	 55658/57639 tok/s	 256000 sents	    891 sec	
mt_fin-eng: 1500	 acc: --	 ppl: 200.76	 xent: 5.30	  11.15 TFLOP/s	 32497/33657 tok/s	 384016 sents	   1649 sec	
mt_fin-eng: 2000	 acc: --	 ppl: 124.59	 xent: 4.82	  19.16 TFLOP/s	 55796/57819 tok/s	 512000 sents	   2092 sec	
mt_fin-eng: 2500	 acc: --	 ppl: 22.78	 xent: 3.13	  16.24 TFLOP/s	 47346/49030 tok/s	 640016 sents	   2612 sec	
mt_fin-eng: 3000	 acc: --	 ppl: 20.27	 xent: 3.01	  19.20 TFLOP/s	 55948/57939 tok/s	 768000 sents	   3054 sec	
mt_fin-eng: 3500	 acc: --	 ppl: 19.29	 xent: 2.96	  16.16 TFLOP/s	 47119/48787 tok/s	 896016 sents	   3577 sec	
mt_fin-eng: 4000	 acc: --	 ppl: 18.30	 xent: 2.91	  19.19 TFLOP/s	 55925/57913 tok/s	 1024000 sents	   4019 sec	
mt_fin-eng: 4500	 acc: --	 ppl: 15.12	 xent: 2.72	  16.09 TFLOP/s	 46901/48573 tok/s	 1152016 sents	   4544 sec	
mt_fin-eng: 5000	 acc: --	 ppl: 14.24	 xent: 2.66	  19.13 TFLOP/s	 55777/57758 tok/s	 1280000 sents	   4985 sec	
mt_fin-eng: 5500	 acc: --	 ppl: 13.84	 xent: 2.63	  15.96 TFLOP/s	 46536/48170 tok/s	 1408016 sents	   5515 sec	
mt_fin-eng: 6000	 acc: --	 ppl: 13.65	 xent: 2.61	  19.15 TFLOP/s	 55800/57772 tok/s	 1536000 sents	   5959 sec	
mt_fin-eng: 6500	 acc: --	 ppl: 13.81	 xent: 2.63	  16.91 TFLOP/s	 49275/51025 tok/s	 1664016 sents	   6460 sec	
mt_fin-eng: 7000	 acc: --	 ppl: 13.76	 xent: 2.62	  19.13 TFLOP/s	 55734/57738 tok/s	 1792000 sents	   6904 sec	
mt_fin-eng: 7500	 acc: --	 ppl: 13.97	 xent: 2.64	  16.60 TFLOP/s	 48411/50131 tok/s	 1920016 sents	   7411 sec	
mt_fin-eng: 8000	 acc: --	 ppl: 13.66	 xent: 2.61	  19.22 TFLOP/s	 56020/57982 tok/s	 2048000 sents	   7854 sec	
mt_fin-eng: 8500	 acc: --	 ppl: 14.01	 xent: 2.64	  16.95 TFLOP/s	 49416/51157 tok/s	 2176016 sents	   8351 sec	
mt_fin-eng: 9000	 acc: --	 ppl: 13.79	 xent: 2.62	  19.12 TFLOP/s	 55724/57715 tok/s	 2304000 sents	   8794 sec	
mt_fin-eng: 9500	 acc: --	 ppl: 13.92	 xent: 2.63	  16.85 TFLOP/s	 49130/50847 tok/s	 2432016 sents	   9295 sec	
mt_fin-eng: 10000	 acc: --	 ppl: 13.70	 xent: 2.62	  19.11 TFLOP/s	 55711/57660 tok/s	 2560000 sents	   9740 sec	
mt_fin-eng: 10500	 acc: --	 ppl: 13.83	 xent: 2.63	  16.64 TFLOP/s	 48482/50224 tok/s	 2688016 sents	  10249 sec	
mt_fin-eng: 11000	 acc: --	 ppl: 13.66	 xent: 2.61	  19.24 TFLOP/s	 56071/58030 tok/s	 2816000 sents	  10691 sec	
mt_fin-eng: 11500	 acc: --	 ppl: 12.88	 xent: 2.56	  16.93 TFLOP/s	 49316/51107 tok/s	 2944016 sents	  11191 sec	
mt_fin-eng: 12000	 acc: --	 ppl: 12.87	 xent: 2.55	  19.16 TFLOP/s	 55827/57806 tok/s	 3072000 sents	  11635 sec	
mt_fin-eng: 12500	 acc: --	 ppl: 12.48	 xent: 2.52	  16.94 TFLOP/s	 49369/51129 tok/s	 3200016 sents	  12134 sec	
