instruct_gmw-deu: 18500	 acc: --	 ppl: 146.52	 xent: 4.99	  10.66 TFLOP/s	 16638/6834 tok/s	 6453008 sents	  32228 sec	
instruct_gmw-deu: 19000	 acc: --	 ppl: 144.91	 xent: 4.98	  10.76 TFLOP/s	 16798/6891 tok/s	 6626654 sents	  33060 sec	
instruct_gmw-deu: 19500	 acc: --	 ppl: 143.16	 xent: 4.96	  10.67 TFLOP/s	 16617/6858 tok/s	 6799558 sents	  33894 sec	
instruct_gmw-deu: 20000	 acc: --	 ppl: 142.08	 xent: 4.96	  10.88 TFLOP/s	 16950/6998 tok/s	 6975919 sents	  34727 sec	
instruct_gmw-deu: 20500	 acc: --	 ppl: 140.80	 xent: 4.95	   9.49 TFLOP/s	 14807/6070 tok/s	 7149754 sents	  35674 sec	
instruct_gmw-deu: 21000	 acc: --	 ppl: 139.41	 xent: 4.94	  10.74 TFLOP/s	 16737/6903 tok/s	 7323993 sents	  36508 sec	
instruct_gmw-deu: 21500	 acc: --	 ppl: 138.81	 xent: 4.93	  10.94 TFLOP/s	 17043/7035 tok/s	 7500017 sents	  37336 sec	
instruct_gmw-deu: 22000	 acc: --	 ppl: 138.33	 xent: 4.93	  10.88 TFLOP/s	 16966/6977 tok/s	 7675504 sents	  38165 sec	
instruct_gmw-deu: 22500	 acc: --	 ppl: 136.52	 xent: 4.92	  10.76 TFLOP/s	 16779/6909 tok/s	 7850608 sents	  39002 sec	
instruct_gmw-deu: 23000	 acc: --	 ppl: 136.95	 xent: 4.92	   8.84 TFLOP/s	 13791/5662 tok/s	 8025556 sents	  40022 sec	
instruct_gmw-deu: 23500	 acc: --	 ppl: 135.56	 xent: 4.91	  10.69 TFLOP/s	 16681/6850 tok/s	 8200284 sents	  40864 sec	
instruct_gmw-deu: 24000	 acc: --	 ppl: 134.79	 xent: 4.90	  10.75 TFLOP/s	 16768/6895 tok/s	 8375275 sents	  41701 sec	
instruct_gmw-deu: 24500	 acc: --	 ppl: 134.31	 xent: 4.90	  10.66 TFLOP/s	 16639/6834 tok/s	 8547932 sents	  42536 sec	
instruct_gmw-deu: 25000	 acc: --	 ppl: 133.49	 xent: 4.89	  10.67 TFLOP/s	 16641/6843 tok/s	 8721578 sents	  43373 sec	
instruct_gmw-deu: 25500	 acc: --	 ppl: 132.96	 xent: 4.89	   8.54 TFLOP/s	 13320/5480 tok/s	 8896546 sents	  44430 sec	
instruct_gmw-deu: 26000	 acc: --	 ppl: 132.11	 xent: 4.88	  10.79 TFLOP/s	 16841/6899 tok/s	 9071447 sents	  45266 sec	
instruct_gmw-deu: 26500	 acc: --	 ppl: 131.31	 xent: 4.88	  10.71 TFLOP/s	 16724/6854 tok/s	 9245933 sents	  46106 sec	
instruct_gmw-deu: 27000	 acc: --	 ppl: 131.32	 xent: 4.88	  10.53 TFLOP/s	 16392/6771 tok/s	 9419048 sents	  46951 sec	
instruct_gmw-deu: 27500	 acc: --	 ppl: 130.44	 xent: 4.87	  10.79 TFLOP/s	 16825/6925 tok/s	 9594817 sents	  47789 sec	
instruct_gmw-deu: 28000	 acc: --	 ppl: 130.46	 xent: 4.87	   7.79 TFLOP/s	 12159/4985 tok/s	 9767549 sents	  48932 sec	
instruct_gmw-deu: 28500	 acc: --	 ppl: 129.18	 xent: 4.86	  10.74 TFLOP/s	 16756/6887 tok/s	 9942245 sents	  49770 sec	
instruct_gmw-deu: 29000	 acc: --	 ppl: 129.22	 xent: 4.86	  10.69 TFLOP/s	 16676/6842 tok/s	 10115551 sents	  50604 sec	
instruct_gmw-deu: 29500	 acc: --	 ppl: 129.15	 xent: 4.86	  10.66 TFLOP/s	 16618/6849 tok/s	 10289676 sents	  51444 sec	
instruct_gmw-deu: 30000	 acc: --	 ppl: 127.97	 xent: 4.85	  10.85 TFLOP/s	 16915/6965 tok/s	 10466157 sents	  52281 sec	
instruct_gmw-deu: 30500	 acc: --	 ppl: 128.05	 xent: 4.85	   7.72 TFLOP/s	 12043/4956 tok/s	 10640168 sents	  53442 sec	
instruct_gmw-deu: 31000	 acc: --	 ppl: 127.42	 xent: 4.85	  10.49 TFLOP/s	 16358/6738 tok/s	 10814244 sents	  54293 sec	
instruct_gmw-deu: 31500	 acc: --	 ppl: 126.51	 xent: 4.84	  10.38 TFLOP/s	 16202/6654 tok/s	 10986240 sents	  55147 sec	
instruct_gmw-deu: 32000	 acc: --	 ppl: 126.34	 xent: 4.84	  10.56 TFLOP/s	 16469/6776 tok/s	 11161035 sents	  55998 sec	
