instruct_ces-eng: 48000	 acc: --	 ppl: 79.82	 xent: 4.38	   8.42 TFLOP/s	 3264/1906 tok/s	 192189 sents	   2420 sec	
instruct_ces-eng: 48500	 acc: --	 ppl: 84.61	 xent: 4.44	   8.60 TFLOP/s	 3293/1982 tok/s	 381792 sents	   4880 sec	
instruct_ces-eng: 49000	 acc: --	 ppl: 88.32	 xent: 4.48	   7.88 TFLOP/s	 3090/1755 tok/s	 569180 sents	   7533 sec	
instruct_ces-eng: 49500	 acc: --	 ppl: 79.66	 xent: 4.38	   8.58 TFLOP/s	 3353/1920 tok/s	 748691 sents	   9889 sec	
instruct_ces-eng: 50000	 acc: --	 ppl: 70.16	 xent: 4.25	   7.87 TFLOP/s	 3128/1719 tok/s	 931194 sents	  12506 sec	
instruct_ces-eng: 50500	 acc: --	 ppl: 77.22	 xent: 4.35	   7.12 TFLOP/s	 2753/1614 tok/s	 1113264 sents	  15373 sec	
instruct_ces-eng: 51000	 acc: --	 ppl: 74.52	 xent: 4.31	   8.31 TFLOP/s	 3272/1836 tok/s	 1297874 sents	  17906 sec	
instruct_ces-eng: 51500	 acc: --	 ppl: 71.52	 xent: 4.27	   7.87 TFLOP/s	 3067/1769 tok/s	 1477447 sents	  20405 sec	
instruct_ces-eng: 52000	 acc: --	 ppl: 72.61	 xent: 4.29	   7.60 TFLOP/s	 2956/1712 tok/s	 1658985 sents	  23009 sec	
instruct_ces-eng: 52500	 acc: --	 ppl: 71.52	 xent: 4.27	   8.22 TFLOP/s	 3206/1846 tok/s	 1846988 sents	  25553 sec	
instruct_ces-eng: 53000	 acc: --	 ppl: 71.07	 xent: 4.26	   7.27 TFLOP/s	 2821/1643 tok/s	 2032074 sents	  28386 sec	
instruct_ces-eng: 53500	 acc: --	 ppl: 68.50	 xent: 4.23	   7.74 TFLOP/s	 2987/1760 tok/s	 2217550 sents	  31029 sec	
instruct_ces-eng: 54000	 acc: --	 ppl: 70.80	 xent: 4.26	   8.04 TFLOP/s	 3102/1830 tok/s	 2406175 sents	  33655 sec	
instruct_ces-eng: 54500	 acc: --	 ppl: 74.05	 xent: 4.30	   8.89 TFLOP/s	 3809/1706 tok/s	 2582977 sents	  36270 sec	
instruct_ces-eng: 55000	 acc: --	 ppl: 71.51	 xent: 4.27	   8.74 TFLOP/s	 3757/1664 tok/s	 2760498 sents	  38928 sec	
