zero_deu-ukr: 9250	 acc: --	 ppl: 17.56	 xent: 2.87	   9.16 TFLOP/s	 25180/28903 tok/s	 4509233 sents	  25018 sec	
zero_deu-ukr: 9500	 acc: --	 ppl: 17.72	 xent: 2.87	  13.15 TFLOP/s	 36156/41495 tok/s	 4631690 sents	  25624 sec	
zero_deu-ukr: 9750	 acc: --	 ppl: 16.60	 xent: 2.81	  12.88 TFLOP/s	 35401/40650 tok/s	 4751281 sents	  26230 sec	
zero_deu-ukr: 10000	 acc: --	 ppl: 16.27	 xent: 2.79	  13.07 TFLOP/s	 35855/41299 tok/s	 4871751 sents	  26831 sec	
zero_deu-ukr: 10250	 acc: --	 ppl: 16.33	 xent: 2.79	   8.43 TFLOP/s	 23167/26607 tok/s	 4989504 sents	  27741 sec	
zero_deu-ukr: 10500	 acc: --	 ppl: 16.84	 xent: 2.82	  13.19 TFLOP/s	 36257/41594 tok/s	 5111042 sents	  28344 sec	
zero_deu-ukr: 10750	 acc: --	 ppl: 17.26	 xent: 2.85	  12.95 TFLOP/s	 35612/40831 tok/s	 5231653 sents	  28952 sec	
zero_deu-ukr: 11000	 acc: --	 ppl: 15.81	 xent: 2.76	  13.20 TFLOP/s	 36314/41603 tok/s	 5354232 sents	  29559 sec	
zero_deu-ukr: 11250	 acc: --	 ppl: 16.19	 xent: 2.78	   9.25 TFLOP/s	 25465/29135 tok/s	 5477563 sents	  30432 sec	
zero_deu-ukr: 11500	 acc: --	 ppl: 15.12	 xent: 2.72	  12.95 TFLOP/s	 35638/40793 tok/s	 5598286 sents	  31042 sec	
zero_deu-ukr: 11750	 acc: --	 ppl: 17.34	 xent: 2.85	  13.08 TFLOP/s	 35936/41277 tok/s	 5721276 sents	  31656 sec	
zero_deu-ukr: 12000	 acc: --	 ppl: 16.94	 xent: 2.83	  12.86 TFLOP/s	 35371/40556 tok/s	 5841701 sents	  32269 sec	
zero_deu-ukr: 12250	 acc: --	 ppl: 15.07	 xent: 2.71	   9.24 TFLOP/s	 25382/29178 tok/s	 5965548 sents	  33143 sec	
zero_deu-ukr: 12500	 acc: --	 ppl: 15.02	 xent: 2.71	  13.04 TFLOP/s	 35739/41241 tok/s	 6087400 sents	  33753 sec	
zero_deu-ukr: 12750	 acc: --	 ppl: 15.86	 xent: 2.76	  12.77 TFLOP/s	 35105/40312 tok/s	 6207151 sents	  34365 sec	
zero_deu-ukr: 13000	 acc: --	 ppl: 15.27	 xent: 2.73	  13.22 TFLOP/s	 36289/41773 tok/s	 6331219 sents	  34977 sec	
zero_deu-ukr: 13250	 acc: --	 ppl: 15.28	 xent: 2.73	   8.91 TFLOP/s	 24481/28103 tok/s	 6453531 sents	  35873 sec	
zero_deu-ukr: 13500	 acc: --	 ppl: 14.50	 xent: 2.67	  13.32 TFLOP/s	 36586/42088 tok/s	 6577356 sents	  36479 sec	
zero_deu-ukr: 13750	 acc: --	 ppl: 15.12	 xent: 2.72	  13.11 TFLOP/s	 36065/41357 tok/s	 6699446 sents	  37086 sec	
zero_deu-ukr: 14000	 acc: --	 ppl: 14.81	 xent: 2.70	  13.31 TFLOP/s	 36530/42059 tok/s	 6823238 sents	  37692 sec	
zero_deu-ukr: 14250	 acc: --	 ppl: 13.82	 xent: 2.63	   9.34 TFLOP/s	 25652/29499 tok/s	 6947321 sents	  38558 sec	
