sentmt_bul-eng: 4500	 acc: --	 ppl: 14.83	 xent: 2.70	   9.82 TFLOP/s	 2941/2954 tok/s	 2262408 sents	  15933 sec	
sentmt_bul-eng: 5000	 acc: --	 ppl: 14.90	 xent: 2.70	   9.82 TFLOP/s	 2940/2953 tok/s	 2513354 sents	  17656 sec	
sentmt_bul-eng: 5500	 acc: --	 ppl: 14.67	 xent: 2.69	   8.28 TFLOP/s	 2483/2491 tok/s	 2764277 sents	  19714 sec	
sentmt_bul-eng: 6000	 acc: --	 ppl: 14.48	 xent: 2.67	   9.77 TFLOP/s	 2926/2938 tok/s	 3013329 sents	  21440 sec	
sentmt_bul-eng: 6500	 acc: --	 ppl: 14.73	 xent: 2.69	  10.08 TFLOP/s	 3015/3034 tok/s	 3266571 sents	  23160 sec	
sentmt_bul-eng: 7000	 acc: --	 ppl: 14.57	 xent: 2.68	   9.95 TFLOP/s	 2984/2993 tok/s	 3516870 sents	  24886 sec	
sentmt_bul-eng: 7500	 acc: --	 ppl: 14.33	 xent: 2.66	   9.88 TFLOP/s	 2956/2974 tok/s	 3768611 sents	  26611 sec	
sentmt_bul-eng: 8000	 acc: --	 ppl: 14.18	 xent: 2.65	   8.18 TFLOP/s	 2451/2463 tok/s	 4021728 sents	  28693 sec	
sentmt_bul-eng: 8500	 acc: --	 ppl: 14.21	 xent: 2.65	   9.87 TFLOP/s	 2954/2973 tok/s	 4271839 sents	  30417 sec	
sentmt_bul-eng: 9000	 acc: --	 ppl: 14.29	 xent: 2.66	   9.58 TFLOP/s	 2867/2885 tok/s	 4515662 sents	  32143 sec	
sentmt_bul-eng: 9500	 acc: --	 ppl: 14.07	 xent: 2.64	   9.76 TFLOP/s	 2922/2934 tok/s	 4761934 sents	  33867 sec	
sentmt_bul-eng: 10000	 acc: --	 ppl: 14.15	 xent: 2.65	   9.84 TFLOP/s	 2944/2962 tok/s	 5013177 sents	  35593 sec	
sentmt_bul-eng: 10500	 acc: --	 ppl: 14.18	 xent: 2.65	   8.29 TFLOP/s	 2484/2493 tok/s	 5265719 sents	  37651 sec	
sentmt_bul-eng: 11000	 acc: --	 ppl: 14.35	 xent: 2.66	   9.67 TFLOP/s	 2896/2910 tok/s	 5514933 sents	  39377 sec	
sentmt_bul-eng: 11500	 acc: --	 ppl: 14.02	 xent: 2.64	  10.01 TFLOP/s	 2994/3016 tok/s	 5769036 sents	  41109 sec	
sentmt_bul-eng: 12000	 acc: --	 ppl: 13.81	 xent: 2.63	   9.97 TFLOP/s	 2985/3002 tok/s	 6021663 sents	  42836 sec	
sentmt_bul-eng: 12500	 acc: --	 ppl: 14.01	 xent: 2.64	   9.97 TFLOP/s	 2989/2998 tok/s	 6274875 sents	  44556 sec	
sentmt_bul-eng: 13000	 acc: --	 ppl: 13.87	 xent: 2.63	   8.25 TFLOP/s	 2469/2482 tok/s	 6527967 sents	  46642 sec	
sentmt_bul-eng: 13500	 acc: --	 ppl: 14.08	 xent: 2.65	   9.82 TFLOP/s	 2938/2955 tok/s	 6777193 sents	  48369 sec	
sentmt_bul-eng: 14000	 acc: --	 ppl: 13.69	 xent: 2.62	   9.84 TFLOP/s	 2946/2961 tok/s	 7028004 sents	  50088 sec	
