mt_fin-bos: 20000	 acc: --	 ppl: 11.56	 xent: 2.45	   7.90 TFLOP/s	 18476/17844 tok/s	 5120010 sents	  54909 sec	

mt_bul-fin: 500	 acc: --	 ppl: 8589.99	 xent: 9.06	   8.33 TFLOP/s	 19170/18971 tok/s	 128016 sents	   1334 sec	
mt_bul-fin: 1000	 acc: --	 ppl: 1045.75	 xent: 6.95	   8.45 TFLOP/s	 19395/19275 tok/s	 256000 sents	   2654 sec	
mt_bul-fin: 1500	 acc: --	 ppl: 447.55	 xent: 6.10	   7.77 TFLOP/s	 17887/17678 tok/s	 384024 sents	   4083 sec	
mt_bul-fin: 2000	 acc: --	 ppl: 215.31	 xent: 5.37	   8.50 TFLOP/s	 19566/19344 tok/s	 512000 sents	   5397 sec	
mt_bul-fin: 2500	 acc: --	 ppl: 66.97	 xent: 4.20	   8.41 TFLOP/s	 19347/19138 tok/s	 640016 sents	   6714 sec	
mt_bul-fin: 3000	 acc: --	 ppl: 37.06	 xent: 3.61	   6.82 TFLOP/s	 15695/15510 tok/s	 768000 sents	   8353 sec	
mt_bul-fin: 3500	 acc: --	 ppl: 27.78	 xent: 3.32	   7.80 TFLOP/s	 17951/17754 tok/s	 896016 sents	   9775 sec	
mt_bul-fin: 4000	 acc: --	 ppl: 22.97	 xent: 3.13	   8.52 TFLOP/s	 19589/19420 tok/s	 1024010 sents	  11081 sec	
mt_bul-fin: 4500	 acc: --	 ppl: 19.52	 xent: 2.97	   8.49 TFLOP/s	 19471/19369 tok/s	 1152024 sents	  12391 sec	
mt_bul-fin: 5000	 acc: --	 ppl: 17.84	 xent: 2.88	   8.55 TFLOP/s	 19667/19481 tok/s	 1280020 sents	  13692 sec	
mt_bul-fin: 5500	 acc: --	 ppl: 16.72	 xent: 2.82	   6.80 TFLOP/s	 15652/15469 tok/s	 1408016 sents	  15328 sec	
mt_bul-fin: 6000	 acc: --	 ppl: 15.43	 xent: 2.74	   8.41 TFLOP/s	 19326/19186 tok/s	 1536032 sents	  16645 sec	
mt_bul-fin: 6500	 acc: --	 ppl: 14.44	 xent: 2.67	   8.51 TFLOP/s	 19510/19416 tok/s	 1664016 sents	  17952 sec	
mt_bul-fin: 7000	 acc: --	 ppl: 13.97	 xent: 2.64	   8.49 TFLOP/s	 19522/19346 tok/s	 1792010 sents	  19264 sec	
mt_bul-fin: 7500	 acc: --	 ppl: 13.60	 xent: 2.61	   8.47 TFLOP/s	 19466/19279 tok/s	 1920024 sents	  20581 sec	
mt_bul-fin: 8000	 acc: --	 ppl: 13.06	 xent: 2.57	   6.82 TFLOP/s	 15678/15542 tok/s	 2048030 sents	  22215 sec	
mt_bul-fin: 8500	 acc: --	 ppl: 12.76	 xent: 2.55	   8.50 TFLOP/s	 19549/19362 tok/s	 2176016 sents	  23525 sec	
mt_bul-fin: 9000	 acc: --	 ppl: 12.59	 xent: 2.53	   8.46 TFLOP/s	 19483/19235 tok/s	 2304032 sents	  24839 sec	
mt_bul-fin: 9500	 acc: --	 ppl: 12.29	 xent: 2.51	   8.49 TFLOP/s	 19540/19313 tok/s	 2432016 sents	  26149 sec	
mt_bul-fin: 10000	 acc: --	 ppl: 12.00	 xent: 2.48	   8.43 TFLOP/s	 19408/19174 tok/s	 2560030 sents	  27467 sec	
mt_bul-fin: 10500	 acc: --	 ppl: 11.90	 xent: 2.48	   6.85 TFLOP/s	 15794/15572 tok/s	 2688016 sents	  29092 sec	
mt_bul-fin: 11000	 acc: --	 ppl: 11.59	 xent: 2.45	   8.53 TFLOP/s	 19612/19427 tok/s	 2816020 sents	  30392 sec	
mt_bul-fin: 11500	 acc: --	 ppl: 11.58	 xent: 2.45	   8.57 TFLOP/s	 19769/19445 tok/s	 2944016 sents	  31689 sec	
mt_bul-fin: 12000	 acc: --	 ppl: 11.30	 xent: 2.43	   8.43 TFLOP/s	 19379/19197 tok/s	 3072020 sents	  33011 sec	
mt_bul-fin: 12500	 acc: --	 ppl: 11.20	 xent: 2.42	   8.46 TFLOP/s	 19478/19252 tok/s	 3200024 sents	  34323 sec	
mt_bul-fin: 13000	 acc: --	 ppl: 10.94	 xent: 2.39	   6.85 TFLOP/s	 15713/15611 tok/s	 3328010 sents	  35952 sec	
mt_bul-fin: 13500	 acc: --	 ppl: 10.94	 xent: 2.39	   8.47 TFLOP/s	 19476/19277 tok/s	 3456016 sents	  37269 sec	
mt_bul-fin: 14000	 acc: --	 ppl: 10.82	 xent: 2.38	   8.50 TFLOP/s	 19558/19334 tok/s	 3584030 sents	  38577 sec	
mt_bul-fin: 14500	 acc: --	 ppl: 10.73	 xent: 2.37	   8.56 TFLOP/s	 19697/19457 tok/s	 3712016 sents	  39880 sec	
mt_bul-fin: 15000	 acc: --	 ppl: 10.65	 xent: 2.37	   8.48 TFLOP/s	 19512/19290 tok/s	 3840020 sents	  41191 sec	
mt_bul-fin: 15500	 acc: --	 ppl: 10.57	 xent: 2.36	   6.86 TFLOP/s	 15790/15595 tok/s	 3968024 sents	  42819 sec	
mt_bul-fin: 16000	 acc: --	 ppl: 10.45	 xent: 2.35	   8.48 TFLOP/s	 19485/19334 tok/s	 4096000 sents	  44138 sec	
mt_bul-fin: 16500	 acc: --	 ppl: 10.41	 xent: 2.34	   8.43 TFLOP/s	 19411/19186 tok/s	 4224024 sents	  45452 sec	
mt_bul-fin: 17000	 acc: --	 ppl: 10.43	 xent: 2.35	   8.51 TFLOP/s	 19678/19287 tok/s	 4352030 sents	  46758 sec	
mt_bul-fin: 17500	 acc: --	 ppl: 10.32	 xent: 2.33	   8.53 TFLOP/s	 19672/19394 tok/s	 4480016 sents	  48064 sec	
mt_bul-fin: 18000	 acc: --	 ppl: 10.21	 xent: 2.32	   6.88 TFLOP/s	 15838/15649 tok/s	 4608020 sents	  49679 sec	
mt_bul-fin: 18500	 acc: --	 ppl: 10.12	 xent: 2.31	   8.41 TFLOP/s	 19321/19161 tok/s	 4736016 sents	  51001 sec	
mt_bul-fin: 19000	 acc: --	 ppl: 10.03	 xent: 2.31	   8.53 TFLOP/s	 19579/19442 tok/s	 4864032 sents	  52306 sec	
mt_bul-fin: 19500	 acc: --	 ppl: 10.04	 xent: 2.31	   8.59 TFLOP/s	 19766/19527 tok/s	 4992016 sents	  53604 sec	
mt_bul-fin: 20000	 acc: --	 ppl:  9.94	 xent: 2.30	   8.51 TFLOP/s	 19576/19378 tok/s	 5120010 sents	  54909 sec	

mt_fin-bul: 500	 acc: --	 ppl: 9043.52	 xent: 9.11	   8.20 TFLOP/s	 17983/19445 tok/s	 128024 sents	   1333 sec	
mt_fin-bul: 1000	 acc: --	 ppl: 1530.75	 xent: 7.33	   8.31 TFLOP/s	 18207/19697 tok/s	 256010 sents	   2652 sec	
