predict_ces-ces: 42000	 acc: --	 ppl: 92.58	 xent: 4.53	  20.18 TFLOP/s	 6330/5539 tok/s	 3093596 sents	 117680 sec	
predict_ces-ces: 42500	 acc: --	 ppl: 92.12	 xent: 4.52	  20.09 TFLOP/s	 6294/5523 tok/s	 3199224 sents	 121662 sec	
predict_ces-ces: 43000	 acc: --	 ppl: 92.35	 xent: 4.53	  18.31 TFLOP/s	 5737/5031 tok/s	 3303210 sents	 125961 sec	
predict_ces-ces: 43500	 acc: --	 ppl: 91.52	 xent: 4.52	  20.11 TFLOP/s	 6302/5525 tok/s	 3409413 sents	 129958 sec	
predict_ces-ces: 44000	 acc: --	 ppl: 90.97	 xent: 4.51	  20.29 TFLOP/s	 6349/5581 tok/s	 3516483 sents	 133952 sec	
predict_ces-ces: 44500	 acc: --	 ppl: 90.97	 xent: 4.51	  20.23 TFLOP/s	 6333/5565 tok/s	 3624461 sents	 138001 sec	
predict_ces-ces: 45000	 acc: --	 ppl: 90.59	 xent: 4.51	  19.61 TFLOP/s	 6134/5397 tok/s	 3728484 sents	 142016 sec	
predict_ces-ces: 45500	 acc: --	 ppl: 91.37	 xent: 4.51	  18.43 TFLOP/s	 5780/5062 tok/s	 3835521 sents	 146405 sec	
predict_ces-ces: 46000	 acc: --	 ppl: 90.59	 xent: 4.51	  19.00 TFLOP/s	 5943/5230 tok/s	 3942062 sents	 150651 sec	
predict_ces-ces: 46500	 acc: --	 ppl: 90.18	 xent: 4.50	  20.32 TFLOP/s	 6358/5593 tok/s	 4049159 sents	 154654 sec	
predict_ces-ces: 47000	 acc: --	 ppl: 89.58	 xent: 4.50	  20.77 TFLOP/s	 6506/5709 tok/s	 4159874 sents	 158682 sec	
predict_ces-ces: 47500	 acc: --	 ppl: 89.17	 xent: 4.49	  20.31 TFLOP/s	 6359/5587 tok/s	 4268344 sents	 162714 sec	
predict_ces-ces: 48000	 acc: --	 ppl: 89.45	 xent: 4.49	  19.01 TFLOP/s	 5955/5225 tok/s	 4378359 sents	 167095 sec	
predict_ces-ces: 48500	 acc: --	 ppl: 88.43	 xent: 4.48	  21.01 TFLOP/s	 6577/5778 tok/s	 4490202 sents	 171116 sec	

predict_dan-dan: 28000	 acc: --	 ppl: 145.86	 xent: 4.98	  20.23 TFLOP/s	 6339/5561 tok/s	 109280 sents	   4062 sec	
predict_dan-dan: 28500	 acc: --	 ppl: 129.32	 xent: 4.86	  20.44 TFLOP/s	 6397/5624 tok/s	 219126 sents	   8110 sec	
predict_dan-dan: 29000	 acc: --	 ppl: 121.02	 xent: 4.80	  20.10 TFLOP/s	 6294/5530 tok/s	 327138 sents	  12154 sec	
predict_dan-dan: 29500	 acc: --	 ppl: 116.54	 xent: 4.76	  20.10 TFLOP/s	 6298/5528 tok/s	 434056 sents	  16157 sec	
predict_dan-dan: 30000	 acc: --	 ppl: 113.23	 xent: 4.73	  20.08 TFLOP/s	 6290/5523 tok/s	 541006 sents	  20158 sec	
