mt_bos-deu: 18500	 acc: --	 ppl:  7.24	 xent: 1.98	  48.74 TFLOP/s	 14143/14413 tok/s	 5636301 sents	  82980 sec	
mt_bos-deu: 19000	 acc: --	 ppl:  7.34	 xent: 1.99	  48.50 TFLOP/s	 14009/14392 tok/s	 5789591 sents	  85169 sec	
mt_bos-deu: 19500	 acc: --	 ppl:  7.28	 xent: 1.99	  47.17 TFLOP/s	 13629/13995 tok/s	 5938344 sents	  87346 sec	
mt_bos-deu: 20000	 acc: --	 ppl:  7.28	 xent: 1.99	  46.95 TFLOP/s	 13571/13924 tok/s	 6087207 sents	  89531 sec	
mt_bos-deu: 20500	 acc: --	 ppl:  7.38	 xent: 2.00	  39.87 TFLOP/s	 11522/11827 tok/s	 6233133 sents	  92055 sec	
mt_bos-deu: 21000	 acc: --	 ppl:  7.36	 xent: 2.00	  46.41 TFLOP/s	 13390/13788 tok/s	 6379711 sents	  94231 sec	
mt_bos-deu: 21500	 acc: --	 ppl:  7.27	 xent: 1.98	  48.06 TFLOP/s	 13900/14246 tok/s	 6529933 sents	  96399 sec	
mt_bos-deu: 22000	 acc: --	 ppl:  7.21	 xent: 1.98	  47.96 TFLOP/s	 13912/14187 tok/s	 6681963 sents	  98569 sec	
mt_bos-deu: 22500	 acc: --	 ppl:  7.27	 xent: 1.98	  49.22 TFLOP/s	 14260/14571 tok/s	 6837457 sents	 100746 sec	
mt_bos-deu: 23000	 acc: --	 ppl:  7.21	 xent: 1.98	  41.77 TFLOP/s	 12105/12366 tok/s	 6990301 sents	 103267 sec	
mt_bos-deu: 23500	 acc: --	 ppl:  7.22	 xent: 1.98	  46.17 TFLOP/s	 13354/13689 tok/s	 7137051 sents	 105447 sec	
mt_bos-deu: 24000	 acc: --	 ppl:  7.17	 xent: 1.97	  48.53 TFLOP/s	 14040/14389 tok/s	 7291439 sents	 107622 sec	
mt_bos-deu: 24500	 acc: --	 ppl:  7.15	 xent: 1.97	  48.72 TFLOP/s	 14091/14449 tok/s	 7445597 sents	 109792 sec	
mt_bos-deu: 25000	 acc: --	 ppl:  7.22	 xent: 1.98	  48.11 TFLOP/s	 13933/14250 tok/s	 7597315 sents	 111960 sec	
mt_bos-deu: 25500	 acc: --	 ppl:  7.28	 xent: 1.98	  41.19 TFLOP/s	 11904/12220 tok/s	 7746276 sents	 114459 sec	
mt_bos-deu: 26000	 acc: --	 ppl:  7.16	 xent: 1.97	  48.10 TFLOP/s	 13923/14252 tok/s	 7897144 sents	 116624 sec	
mt_bos-deu: 26500	 acc: --	 ppl:  7.20	 xent: 1.97	  47.88 TFLOP/s	 13872/14175 tok/s	 8047978 sents	 118796 sec	
mt_bos-deu: 27000	 acc: --	 ppl:  7.14	 xent: 1.97	  47.05 TFLOP/s	 13633/13927 tok/s	 8195933 sents	 120970 sec	
mt_bos-deu: 27500	 acc: --	 ppl:  7.11	 xent: 1.96	  48.87 TFLOP/s	 14153/14471 tok/s	 8349049 sents	 123139 sec	
mt_bos-deu: 28000	 acc: --	 ppl:  7.20	 xent: 1.97	  41.20 TFLOP/s	 11917/12215 tok/s	 8499028 sents	 125653 sec	
mt_bos-deu: 28500	 acc: --	 ppl:  7.20	 xent: 1.97	  46.55 TFLOP/s	 13471/13794 tok/s	 8645905 sents	 127839 sec	
mt_bos-deu: 29000	 acc: --	 ppl:  7.21	 xent: 1.98	  48.94 TFLOP/s	 14121/14530 tok/s	 8799709 sents	 130024 sec	
mt_bos-deu: 29500	 acc: --	 ppl:  7.19	 xent: 1.97	  46.87 TFLOP/s	 13569/13883 tok/s	 8947100 sents	 132202 sec	
mt_bos-deu: 30000	 acc: --	 ppl:  7.27	 xent: 1.98	  46.95 TFLOP/s	 13591/13910 tok/s	 9094983 sents	 134377 sec	
mt_bos-deu: 30500	 acc: --	 ppl:  7.15	 xent: 1.97	  41.61 TFLOP/s	 12019/12347 tok/s	 9244829 sents	 136878 sec	
mt_bos-deu: 31000	 acc: --	 ppl:  7.14	 xent: 1.97	  46.56 TFLOP/s	 13496/13775 tok/s	 9391102 sents	 139053 sec	
mt_bos-deu: 31500	 acc: --	 ppl:  7.26	 xent: 1.98	  48.01 TFLOP/s	 13889/14233 tok/s	 9542346 sents	 141227 sec	
mt_bos-deu: 32000	 acc: --	 ppl:  7.18	 xent: 1.97	  48.89 TFLOP/s	 14141/14491 tok/s	 9695044 sents	 143397 sec	
mt_bos-deu: 32500	 acc: --	 ppl:  7.20	 xent: 1.97	  47.76 TFLOP/s	 13806/14164 tok/s	 9845288 sents	 145576 sec	
mt_bos-deu: 33000	 acc: --	 ppl:  7.26	 xent: 1.98	  40.06 TFLOP/s	 11546/11907 tok/s	 9991635 sents	 148098 sec	
mt_bos-deu: 33500	 acc: --	 ppl:  7.09	 xent: 1.96	  46.98 TFLOP/s	 13605/13914 tok/s	 10139672 sents	 150278 sec	
