denoise_fra-fra: 1250	 acc: --	 ppl: 353.49	 xent: 5.87	   9.67 TFLOP/s	 27996/29244 tok/s	 600256 sents	   2893 sec	
denoise_fra-fra: 1500	 acc: --	 ppl: 212.08	 xent: 5.36	  16.21 TFLOP/s	 46596/49337 tok/s	 725875 sents	   3417 sec	
denoise_fra-fra: 1750	 acc: --	 ppl: 152.38	 xent: 5.03	  16.04 TFLOP/s	 46410/48551 tok/s	 847993 sents	   3935 sec	
denoise_fra-fra: 2000	 acc: --	 ppl: 79.72	 xent: 4.38	  15.58 TFLOP/s	 45016/47219 tok/s	 967164 sents	   4452 sec	
denoise_fra-fra: 2250	 acc: --	 ppl: 58.19	 xent: 4.06	   9.74 TFLOP/s	 28090/29577 tok/s	 1085059 sents	   5272 sec	
denoise_fra-fra: 2500	 acc: --	 ppl: 51.53	 xent: 3.94	  16.10 TFLOP/s	 46830/48535 tok/s	 1208476 sents	   5793 sec	
denoise_fra-fra: 2750	 acc: --	 ppl: 28.76	 xent: 3.36	  15.56 TFLOP/s	 44807/47264 tok/s	 1327872 sents	   6311 sec	
denoise_fra-fra: 3000	 acc: --	 ppl: 21.63	 xent: 3.07	  16.16 TFLOP/s	 46701/48983 tok/s	 1450052 sents	   6823 sec	
denoise_fra-fra: 3250	 acc: --	 ppl: 19.40	 xent: 2.97	  10.02 TFLOP/s	 28977/30358 tok/s	 1572451 sents	   7650 sec	
denoise_fra-fra: 3500	 acc: --	 ppl: 17.41	 xent: 2.86	  15.94 TFLOP/s	 45978/48392 tok/s	 1694107 sents	   8166 sec	
denoise_fra-fra: 3750	 acc: --	 ppl: 14.69	 xent: 2.69	  15.97 TFLOP/s	 45865/48618 tok/s	 1817212 sents	   8687 sec	
denoise_fra-fra: 4000	 acc: --	 ppl: 14.47	 xent: 2.67	  16.13 TFLOP/s	 46533/48958 tok/s	 1939510 sents	   9200 sec	
denoise_fra-fra: 4250	 acc: --	 ppl: 14.82	 xent: 2.70	   9.71 TFLOP/s	 27920/29530 tok/s	 2057625 sents	  10024 sec	
denoise_fra-fra: 4500	 acc: --	 ppl: 14.01	 xent: 2.64	  15.48 TFLOP/s	 44813/46834 tok/s	 2175346 sents	  10539 sec	
denoise_fra-fra: 4750	 acc: --	 ppl: 13.35	 xent: 2.59	  16.02 TFLOP/s	 46301/48552 tok/s	 2298331 sents	  11058 sec	
denoise_fra-fra: 5000	 acc: --	 ppl: 12.75	 xent: 2.55	  15.88 TFLOP/s	 45770/48277 tok/s	 2420963 sents	  11576 sec	
denoise_fra-fra: 5250	 acc: --	 ppl: 12.22	 xent: 2.50	   9.85 TFLOP/s	 28193/30088 tok/s	 2542177 sents	  12404 sec	
denoise_fra-fra: 5500	 acc: --	 ppl: 12.80	 xent: 2.55	  15.78 TFLOP/s	 45744/47694 tok/s	 2662711 sents	  12922 sec	
denoise_fra-fra: 5750	 acc: --	 ppl: 12.46	 xent: 2.52	  15.73 TFLOP/s	 45255/47845 tok/s	 2782803 sents	  13439 sec	
denoise_fra-fra: 6000	 acc: --	 ppl: 12.21	 xent: 2.50	  15.52 TFLOP/s	 44753/47084 tok/s	 2900161 sents	  13953 sec	
denoise_fra-fra: 6250	 acc: --	 ppl: 12.42	 xent: 2.52	   9.78 TFLOP/s	 28258/29646 tok/s	 3018894 sents	  14778 sec	
denoise_fra-fra: 6500	 acc: --	 ppl: 11.58	 xent: 2.45	  15.53 TFLOP/s	 44730/47177 tok/s	 3138500 sents	  15299 sec	
denoise_fra-fra: 6750	 acc: --	 ppl: 11.80	 xent: 2.47	  15.64 TFLOP/s	 44933/47611 tok/s	 3257499 sents	  15815 sec	
denoise_fra-fra: 7000	 acc: --	 ppl: 12.13	 xent: 2.50	  15.76 TFLOP/s	 45567/47760 tok/s	 3377679 sents	  16332 sec	
denoise_fra-fra: 7250	 acc: --	 ppl: 12.79	 xent: 2.55	   9.75 TFLOP/s	 28371/29366 tok/s	 3496478 sents	  17158 sec	
denoise_fra-fra: 7500	 acc: --	 ppl: 11.66	 xent: 2.46	  15.61 TFLOP/s	 45163/47260 tok/s	 3615838 sents	  17675 sec	
denoise_fra-fra: 7750	 acc: --	 ppl: 11.88	 xent: 2.47	  15.96 TFLOP/s	 46191/48299 tok/s	 3737644 sents	  18191 sec	
denoise_fra-fra: 8000	 acc: --	 ppl: 11.90	 xent: 2.48	  15.84 TFLOP/s	 45894/47899 tok/s	 3857466 sents	  18704 sec	
denoise_fra-fra: 8250	 acc: --	 ppl: 11.65	 xent: 2.46	   9.91 TFLOP/s	 28580/30071 tok/s	 3978599 sents	  19531 sec	
denoise_fra-fra: 8500	 acc: --	 ppl: 11.77	 xent: 2.47	  15.88 TFLOP/s	 45698/48255 tok/s	 4098128 sents	  20042 sec	
denoise_fra-fra: 8750	 acc: --	 ppl: 11.53	 xent: 2.44	  15.94 TFLOP/s	 46069/48292 tok/s	 4218508 sents	  20553 sec	
denoise_fra-fra: 9000	 acc: --	 ppl: 11.29	 xent: 2.42	  16.20 TFLOP/s	 46606/49312 tok/s	 4342359 sents	  21068 sec	
denoise_fra-fra: 9250	 acc: --	 ppl: 11.13	 xent: 2.41	   9.86 TFLOP/s	 28562/29850 tok/s	 4462624 sents	  21892 sec	
denoise_fra-fra: 9500	 acc: --	 ppl: 11.58	 xent: 2.45	  15.62 TFLOP/s	 45205/47281 tok/s	 4582181 sents	  22410 sec	
denoise_fra-fra: 9750	 acc: --	 ppl: 11.25	 xent: 2.42	  15.66 TFLOP/s	 45272/47405 tok/s	 4701383 sents	  22926 sec	
denoise_fra-fra: 10000	 acc: --	 ppl: 11.35	 xent: 2.43	  15.71 TFLOP/s	 45258/47746 tok/s	 4822084 sents	  23446 sec	
denoise_fra-fra: 10250	 acc: --	 ppl: 10.76	 xent: 2.38	  10.02 TFLOP/s	 28943/30390 tok/s	 4944896 sents	  24274 sec	
denoise_fra-fra: 10500	 acc: --	 ppl: 11.29	 xent: 2.42	  15.39 TFLOP/s	 44363/46702 tok/s	 5060327 sents	  24783 sec	
denoise_fra-fra: 10750	 acc: --	 ppl: 10.69	 xent: 2.37	  15.91 TFLOP/s	 45912/48283 tok/s	 5181535 sents	  25299 sec	
denoise_fra-fra: 11000	 acc: --	 ppl: 10.91	 xent: 2.39	  15.91 TFLOP/s	 45967/48212 tok/s	 5303336 sents	  25818 sec	
denoise_fra-fra: 11250	 acc: --	 ppl: 11.10	 xent: 2.41	   9.86 TFLOP/s	 28273/30063 tok/s	 5423138 sents	  26640 sec	
denoise_fra-fra: 11500	 acc: --	 ppl: 10.68	 xent: 2.37	  16.14 TFLOP/s	 46235/49215 tok/s	 5547398 sents	  27162 sec	
