instruct_fin-eng: 53000	 acc: --	 ppl: 11.22	 xent: 2.42	  18.29 TFLOP/s	 10655/944 tok/s	 2064332 sents	  25297 sec	
instruct_fin-eng: 53500	 acc: --	 ppl: 11.18	 xent: 2.41	  21.46 TFLOP/s	 12502/1111 tok/s	 2173504 sents	  27771 sec	
instruct_fin-eng: 54000	 acc: --	 ppl: 11.14	 xent: 2.41	  20.59 TFLOP/s	 11999/1060 tok/s	 2278449 sents	  30254 sec	
instruct_fin-eng: 54500	 acc: --	 ppl: 11.09	 xent: 2.41	  21.47 TFLOP/s	 12513/1108 tok/s	 2387075 sents	  32716 sec	
instruct_fin-eng: 55000	 acc: --	 ppl: 10.52	 xent: 2.35	  12.50 TFLOP/s	 5686/2116 tok/s	 2609981 sents	  35252 sec	

instruct_eng-eng: 48000	 acc: --	 ppl: 30.77	 xent: 3.43	  18.39 TFLOP/s	 8261/3181 tok/s	 201291 sents	   2046 sec	
instruct_eng-eng: 48500	 acc: --	 ppl: 91.25	 xent: 4.51	  16.50 TFLOP/s	 8462/1952 tok/s	 353064 sents	   4166 sec	
instruct_eng-eng: 49000	 acc: --	 ppl: 76.07	 xent: 4.33	  16.33 TFLOP/s	 8420/1913 tok/s	 534209 sents	   6165 sec	
instruct_eng-eng: 49500	 acc: --	 ppl: 85.38	 xent: 4.45	  16.71 TFLOP/s	 8734/1837 tok/s	 691488 sents	   8312 sec	
instruct_eng-eng: 50000	 acc: --	 ppl: 83.79	 xent: 4.43	  16.46 TFLOP/s	 8414/1966 tok/s	 838272 sents	  10393 sec	
instruct_eng-eng: 50500	 acc: --	 ppl: 76.83	 xent: 4.34	  14.35 TFLOP/s	 7315/1748 tok/s	 1004428 sents	  12715 sec	
instruct_eng-eng: 51000	 acc: --	 ppl: 78.82	 xent: 4.37	  13.84 TFLOP/s	 7225/1530 tok/s	 1158409 sents	  15206 sec	
instruct_eng-eng: 51500	 acc: --	 ppl: 79.43	 xent: 4.37	  13.62 TFLOP/s	 7068/1551 tok/s	 1317428 sents	  17565 sec	
instruct_eng-eng: 52000	 acc: --	 ppl: 79.42	 xent: 4.37	  13.88 TFLOP/s	 6928/1808 tok/s	 1473383 sents	  20007 sec	
instruct_eng-eng: 52500	 acc: --	 ppl: 71.34	 xent: 4.27	  12.68 TFLOP/s	 6569/1459 tok/s	 1637643 sents	  22442 sec	
instruct_eng-eng: 53000	 acc: --	 ppl: 82.18	 xent: 4.41	  12.31 TFLOP/s	 6411/1368 tok/s	 1785719 sents	  25297 sec	
