mt_bos-eng: 50000	 acc: --	 ppl:  9.75	 xent: 2.28	  14.42 TFLOP/s	 13823/15879 tok/s	 10690774 sents	 142670 sec	
mt_bos-eng: 50500	 acc: --	 ppl:  9.73	 xent: 2.28	  11.29 TFLOP/s	 10819/12422 tok/s	 10794953 sents	 144348 sec	
mt_bos-eng: 51000	 acc: --	 ppl:  9.72	 xent: 2.27	  14.55 TFLOP/s	 13956/16020 tok/s	 10904593 sents	 145710 sec	
mt_bos-eng: 51500	 acc: --	 ppl:  9.72	 xent: 2.27	  14.62 TFLOP/s	 14012/16089 tok/s	 11014759 sents	 147079 sec	
mt_bos-eng: 52000	 acc: --	 ppl:  9.73	 xent: 2.27	  13.99 TFLOP/s	 13416/15397 tok/s	 11119416 sents	 148437 sec	
mt_bos-eng: 52500	 acc: --	 ppl:  9.74	 xent: 2.28	  14.47 TFLOP/s	 13869/15924 tok/s	 11227216 sents	 149790 sec	
mt_bos-eng: 53000	 acc: --	 ppl:  9.73	 xent: 2.27	  11.63 TFLOP/s	 11142/12803 tok/s	 11333636 sents	 151450 sec	
mt_bos-eng: 53500	 acc: --	 ppl:  9.75	 xent: 2.28	  14.10 TFLOP/s	 13520/15524 tok/s	 11439271 sents	 152812 sec	
mt_bos-eng: 54000	 acc: --	 ppl:  9.69	 xent: 2.27	  13.05 TFLOP/s	 12506/14361 tok/s	 11546596 sents	 154312 sec	
mt_bos-eng: 54500	 acc: --	 ppl:  9.66	 xent: 2.27	  14.05 TFLOP/s	 13477/15454 tok/s	 11650469 sents	 155663 sec	
mt_bos-eng: 55000	 acc: --	 ppl:  9.69	 xent: 2.27	  14.59 TFLOP/s	 13982/16058 tok/s	 11758893 sents	 157010 sec	
mt_bos-eng: 55500	 acc: --	 ppl:  9.72	 xent: 2.27	  11.66 TFLOP/s	 11175/12836 tok/s	 11866383 sents	 158682 sec	
mt_bos-eng: 56000	 acc: --	 ppl:  9.64	 xent: 2.27	  14.10 TFLOP/s	 13525/15521 tok/s	 11971144 sents	 160029 sec	
mt_bos-eng: 56500	 acc: --	 ppl:  9.67	 xent: 2.27	  13.79 TFLOP/s	 13222/15184 tok/s	 12074123 sents	 161386 sec	
mt_bos-eng: 57000	 acc: --	 ppl:  9.71	 xent: 2.27	  14.53 TFLOP/s	 13919/15998 tok/s	 12182504 sents	 162738 sec	
mt_bos-eng: 57500	 acc: --	 ppl:  9.70	 xent: 2.27	  14.17 TFLOP/s	 13573/15601 tok/s	 12288595 sents	 164096 sec	
mt_bos-eng: 58000	 acc: --	 ppl:  9.67	 xent: 2.27	  11.44 TFLOP/s	 10966/12589 tok/s	 12394594 sents	 165771 sec	
mt_bos-eng: 58500	 acc: --	 ppl:  9.65	 xent: 2.27	  14.39 TFLOP/s	 13797/15842 tok/s	 12501823 sents	 167123 sec	
mt_bos-eng: 59000	 acc: --	 ppl:  9.63	 xent: 2.27	  14.53 TFLOP/s	 13940/15988 tok/s	 12609339 sents	 168468 sec	
mt_bos-eng: 59500	 acc: --	 ppl:  9.69	 xent: 2.27	  14.65 TFLOP/s	 14047/16132 tok/s	 12718830 sents	 169824 sec	
mt_bos-eng: 60000	 acc: --	 ppl:  9.68	 xent: 2.27	  14.38 TFLOP/s	 13785/15838 tok/s	 12827448 sents	 171190 sec	

mt_eng-bos: 500	 acc: --	 ppl: 6970.89	 xent: 8.85	  12.67 TFLOP/s	 14121/12281 tok/s	 106730 sents	   1513 sec	
mt_eng-bos: 1000	 acc: --	 ppl: 1092.69	 xent: 7.00	  13.69 TFLOP/s	 15247/13300 tok/s	 212263 sents	   2891 sec	
mt_eng-bos: 1500	 acc: --	 ppl: 190.90	 xent: 5.25	  14.31 TFLOP/s	 15945/13880 tok/s	 321301 sents	   4260 sec	
mt_eng-bos: 2000	 acc: --	 ppl: 38.85	 xent: 3.66	  14.10 TFLOP/s	 15720/13672 tok/s	 431138 sents	   5657 sec	
mt_eng-bos: 2500	 acc: --	 ppl: 21.96	 xent: 3.09	  13.45 TFLOP/s	 14998/13047 tok/s	 534468 sents	   7033 sec	
mt_eng-bos: 3000	 acc: --	 ppl: 16.32	 xent: 2.79	  11.57 TFLOP/s	 12898/11220 tok/s	 643353 sents	   8718 sec	
mt_eng-bos: 3500	 acc: --	 ppl: 13.51	 xent: 2.60	  14.14 TFLOP/s	 15753/13726 tok/s	 750367 sents	  10074 sec	
mt_eng-bos: 4000	 acc: --	 ppl: 11.97	 xent: 2.48	  13.92 TFLOP/s	 15525/13500 tok/s	 856334 sents	  11435 sec	
mt_eng-bos: 4500	 acc: --	 ppl: 10.91	 xent: 2.39	  14.44 TFLOP/s	 16098/14002 tok/s	 965841 sents	  12794 sec	
mt_eng-bos: 5000	 acc: --	 ppl: 10.21	 xent: 2.32	  13.64 TFLOP/s	 15192/13237 tok/s	 1069184 sents	  14153 sec	
mt_eng-bos: 5500	 acc: --	 ppl:  9.68	 xent: 2.27	  11.41 TFLOP/s	 12714/11082 tok/s	 1176797 sents	  15838 sec	
mt_eng-bos: 6000	 acc: --	 ppl:  9.26	 xent: 2.23	  14.20 TFLOP/s	 15827/13783 tok/s	 1284865 sents	  17195 sec	
mt_eng-bos: 6500	 acc: --	 ppl:  8.94	 xent: 2.19	  13.75 TFLOP/s	 15299/13353 tok/s	 1389222 sents	  18557 sec	
mt_eng-bos: 7000	 acc: --	 ppl:  8.69	 xent: 2.16	  14.02 TFLOP/s	 15610/13603 tok/s	 1495593 sents	  19923 sec	
mt_eng-bos: 7500	 acc: --	 ppl:  8.48	 xent: 2.14	  13.72 TFLOP/s	 15286/13303 tok/s	 1600554 sents	  21297 sec	
mt_eng-bos: 8000	 acc: --	 ppl:  8.29	 xent: 2.12	  10.04 TFLOP/s	 11196/9745 tok/s	 1706243 sents	  23182 sec	
mt_eng-bos: 8500	 acc: --	 ppl:  8.14	 xent: 2.10	  13.62 TFLOP/s	 15174/13221 tok/s	 1811366 sents	  24564 sec	
mt_eng-bos: 9000	 acc: --	 ppl:  7.99	 xent: 2.08	  13.94 TFLOP/s	 15519/13534 tok/s	 1917542 sents	  25928 sec	
mt_eng-bos: 9500	 acc: --	 ppl:  7.87	 xent: 2.06	  14.03 TFLOP/s	 15617/13623 tok/s	 2024548 sents	  27299 sec	
mt_eng-bos: 10000	 acc: --	 ppl:  7.75	 xent: 2.05	  14.37 TFLOP/s	 16008/13940 tok/s	 2133066 sents	  28651 sec	
mt_eng-bos: 10500	 acc: --	 ppl:  7.67	 xent: 2.04	  11.41 TFLOP/s	 12711/11069 tok/s	 2240118 sents	  30326 sec	
mt_eng-bos: 11000	 acc: --	 ppl:  7.59	 xent: 2.03	  13.65 TFLOP/s	 15221/13246 tok/s	 2344508 sents	  31696 sec	
mt_eng-bos: 11500	 acc: --	 ppl:  7.51	 xent: 2.02	  14.02 TFLOP/s	 15629/13601 tok/s	 2450337 sents	  33045 sec	
mt_eng-bos: 12000	 acc: --	 ppl:  7.44	 xent: 2.01	  13.82 TFLOP/s	 15395/13419 tok/s	 2553961 sents	  34392 sec	
mt_eng-bos: 12500	 acc: --	 ppl:  7.39	 xent: 2.00	  14.08 TFLOP/s	 15681/13664 tok/s	 2660474 sents	  35751 sec	
