wiki_eng-fin: 16000	 acc: --	 ppl:  7.88	 xent: 2.06	  13.06 TFLOP/s	 30333/29415 tok/s	 8192084 sents	  56231 sec	
wiki_eng-fin: 16500	 acc: --	 ppl:  7.86	 xent: 2.06	  13.31 TFLOP/s	 30911/29971 tok/s	 8448064 sents	  57944 sec	
wiki_eng-fin: 17000	 acc: --	 ppl:  7.72	 xent: 2.04	  13.15 TFLOP/s	 30546/29655 tok/s	 8704032 sents	  59666 sec	
wiki_eng-fin: 17500	 acc: --	 ppl:  7.66	 xent: 2.04	  13.18 TFLOP/s	 30611/29729 tok/s	 8960064 sents	  61370 sec	
wiki_eng-fin: 18000	 acc: --	 ppl:  7.62	 xent: 2.03	  12.74 TFLOP/s	 29566/28711 tok/s	 9216084 sents	  63159 sec	
wiki_eng-fin: 18500	 acc: --	 ppl:  7.57	 xent: 2.02	  13.13 TFLOP/s	 30431/29609 tok/s	 9472072 sents	  64899 sec	
wiki_eng-fin: 19000	 acc: --	 ppl:  7.53	 xent: 2.02	  13.13 TFLOP/s	 30473/29603 tok/s	 9728064 sents	  66625 sec	
wiki_eng-fin: 19500	 acc: --	 ppl:  7.52	 xent: 2.02	  13.16 TFLOP/s	 30546/29681 tok/s	 9984040 sents	  68334 sec	
wiki_eng-fin: 20000	 acc: --	 ppl:  7.43	 xent: 2.01	  13.18 TFLOP/s	 30581/29715 tok/s	 10240052 sents	  70069 sec	
wiki_eng-fin: 20500	 acc: --	 ppl:  7.42	 xent: 2.00	  12.95 TFLOP/s	 30021/29198 tok/s	 10496020 sents	  71852 sec	
wiki_eng-fin: 21000	 acc: --	 ppl:  7.41	 xent: 2.00	  13.43 TFLOP/s	 31155/30269 tok/s	 10752052 sents	  73558 sec	
wiki_eng-fin: 21500	 acc: --	 ppl:  7.35	 xent: 1.99	  12.99 TFLOP/s	 30194/29280 tok/s	 11008040 sents	  75297 sec	
wiki_eng-fin: 22000	 acc: --	 ppl:  7.28	 xent: 1.99	  13.17 TFLOP/s	 30572/29711 tok/s	 11264084 sents	  77004 sec	
wiki_eng-fin: 22500	 acc: --	 ppl:  7.31	 xent: 1.99	  13.21 TFLOP/s	 30667/29842 tok/s	 11520060 sents	  78690 sec	
wiki_eng-fin: 23000	 acc: --	 ppl:  7.22	 xent: 1.98	  12.84 TFLOP/s	 29789/29021 tok/s	 11776052 sents	  80432 sec	
